Please select your  age (in years) below :,How often do you find that you stay online longer than you intended?  [Your response],How often do your grades or school work suffer because of the amount of time you spend online?  [Your response],How often does your job performance or productivity suffer because of the social media?  [Your response],How often do you check your social media account before something else that you need to do? [Your response],How often do you lose sleep due to being online?  [Your response],How often do you try to cut down the amount of time you spend online and fail? [Your response],"How often do you feel depressed, moody, or nervous when you are off-line, which goes away once you are back online? [Your response]","In a day, how much time do you spend on social media platforms?",How well are you able to concentrate?,Are you able to accept your bodily appearance?,How satisfied are you with the support you get from your friends?,"How often do you have negative feelings, such as blue mood, despair, anxiety, depression? ",Highest level of eduaction attained :,Field of education / profession :,Type of settlement : ,When did you start using social media actively?
18-22,Always,Often,Frequently,Often,Rarely,Occasionally,Occasionally,greater than 3 hours,3,4,4,3,12th standard,Fine Arts,Urban,3 years ago
18-22,Always,Often,Frequently,Always,Always,Often,Always,greater than 3 hours,2,1,1,4,12th standard,Designing,Urban,4 years ago or higher
18-22,Always,Always,Always,Always,Often,Rarely,Always,greater than 3 hours,1,2,3,5,12th standard,Engineering,Urban,3 years ago
18-22,Always,Always,Often,Always,Always,Always,Often,greater than 3 hours,3,4,5,1,12th standard,Management,Urban,4 years ago or higher
18-22,Always,Always,Always,Always,Always,Always,Always,greater than 3 hours,1,1,1,5,12th standard,Engineering,Rural,3 years ago
18-22,Always,Often,Often,Often,Frequently,Frequently,Rarely,2 to 3 hours,2,3,5,4,12th standard,"Arts, Psychology and Sociology",Urban,3 years ago
18-22,Always,Rarely,Not Applicable,Always,Rarely,Occasionally,Rarely,greater than 3 hours,3,5,2,5,12th standard,Management,Urban,4 years ago or higher
18-22,Always,Often,Frequently,Often,Frequently,Occasionally,Rarely,greater than 3 hours,4,4,3,5,12th standard,Designing,Urban,2 years ago
18-22,Always,Rarely,Rarely,Always,Frequently,Rarely,Occasionally,greater than 3 hours,4,5,5,3,12th standard,Finance,Urban,4 years ago or higher
18-22,Always,Frequently,Often,Always,Frequently,Occasionally,Rarely,greater than 3 hours,4,4,5,1,Bachelor's Degree,Engineering,Rural,4 years ago or higher
18-22,Always,Occasionally,Rarely,Rarely,Rarely,Occasionally,Rarely,1 to 2 hours,4,4,3,4,Bachelor's Degree,Engineering,Urban,4 years ago or higher
18-22,Always,Frequently,Frequently,Often,Occasionally,Occasionally,Rarely,2 to 3 hours,4,2,4,2,Bachelor's Degree,Management,Urban,4 years ago or higher
23-25,Always,Often,Often,Often,Always,Always,Always,2 to 3 hours,2,2,2,5,12th standard,"Arts, Psychology and Sociology",Urban,4 years ago or higher
23-25,Always,Often,Rarely,Frequently,Often,Occasionally,Occasionally,1 to 2 hours,4,4,5,2,12th standard,Engineering,Urban,4 years ago or higher
23-25,Always,Often,Always,Always,Rarely,Often,Always,2 to 3 hours,2,2,5,5,Bachelor's Degree,Pharmacy,Rural,4 years ago or higher
23-25,Always,Often,Often,Often,Often,Occasionally,Rarely,greater than 3 hours,2,3,3,5,Bachelor's Degree,Education Teaching,Urban,4 years ago or higher
23-25,Always,Always,Often,Frequently,Always,Often,Rarely,greater than 3 hours,1,5,1,2,Bachelor's Degree,Finance,Urban,4 years ago or higher
23-25,Always,Occasionally,Always,Rarely,Rarely,Occasionally,Not Applicable,1 to 2 hours,2,3,4,4,Bachelor's Degree,Pharmacy,Urban,4 years ago or higher
23-25,Always,Rarely,Rarely,Rarely,Always,Always,Not Applicable,less than an hour,4,4,5,1,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,less than an year ago
23-25,Always,Frequently,Always,Always,Occasionally,Frequently,Often,2 to 3 hours,4,3,2,4,Bachelor's Degree,Finance,Urban,4 years ago or higher
23-25,Always,Not Applicable,Occasionally,Rarely,Rarely,Frequently,Occasionally,2 to 3 hours,3,2,1,5,Master's Degree,Management,Urban,4 years ago or higher
23-25,Always,Always,Occasionally,Always,Frequently,Rarely,Often,greater than 3 hours,5,4,3,5,Master's Degree,Management,Urban,4 years ago or higher
23-25,Always,Frequently,Rarely,Always,Always,Often,Frequently,greater than 3 hours,2,2,1,4,Master's Degree,Management,Urban,4 years ago or higher
